DOCULECT	LAT	LON	CLS
KUNAR_GUJARI	34.6300	70.8600	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Rajasthani,Unclassified
LAMANI	17.0000	77.0000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Rajasthani,Unclassified
LATVIAN_ROMANI	56.2300	24.0300	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Northern
LITHUANIAN_ROMANI	53.0300	22.5800	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Northern
LOVARA_ROMANI	47.0000	21.5000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Vlax
MACEDONIAN_ARLI_ROMANI	42.0800	21.6300	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Balkan
MACEDONIAN_DZAMBAZI_ROMANIAN	42.1300	21.7200	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Vlax
MAITHILI	26.0000	86.0000	Indo-European,Indo-Iranian,Indo-Aryan,Easternzone,Bihari
MALDIVIAN	4.1700	73.5000	Indo-European,Indo-Iranian,Indo-Aryan,Sinhalese-Maldivian
MANDEALI	30.0000	77.1700	Indo-European,Indo-Iranian,Indo-Aryan,Northernzone,WesternPahari
MANSEHRA_HINDKO	34.3300	73.2000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
MARATHI	19.0000	76.0000	Indo-European,Indo-Iranian,Indo-Aryan,Southernzone
MENDHAR_GUJARI	33.6200	74.1300	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Rajasthani,Unclassified
MORANG	26.6000	85.7000	Indo-European,Indo-Iranian,Indo-Aryan,Easternzone,Unclassified
NAGAR_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
NAWAR_ZUTT	32.0000	35.0000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Dom
NEPALI	28.0000	85.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northernzone,EasternPahari
NORTH_RUSSIAN_ROMANI	60.0000	38.0000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Northern
NORTHERN_AZAD_KASHMIR_GUJARI	34.3200	73.5200	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Rajasthani,Unclassified
ODIR_KHOWAR	36.3500	72.4000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Chitral
ORIYA	21.0000	85.0000	Indo-European,Indo-Iranian,Indo-Aryan,Easternzone,Oriya
PAHARI_MAHASU	31.1000	77.1700	Indo-European,Indo-Iranian,Indo-Aryan,Northernzone,WesternPahari
PAHARI_POTWARI	33.9000	73.3900	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
PAKHA_GOLAM	30.8700	72.2800	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
PAKHA_GOLAM_HINDKO	34.0400	71.6100	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
PALAS_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
PANGWALI	32.5500	76.1200	Indo-European,Indo-Iranian,Indo-Aryan,Northernzone,WesternPahari
PARGAM_NISAR_KHOWAR	36.2800	72.5200	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Chitral
PESHAWAR_CITY_HINDKO	34.0000	71.5500	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
PUNIAL_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
PUNJABI_MAJHI	31.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Panjabi
PURIGAL_PHALURA	35.6000	71.8700	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
RAJBANSHI	26.5000	87.7000	Indo-European,Indo-Iranian,Indo-Aryan,Easternzone,Bengali-Assamese
RANA	28.8000	80.3500	Indo-European,Indo-Iranian,Indo-Aryan,Easternzone,Unclassified
ROMUNGRO_ROMANI	48.6700	19.0000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Northern
RONDU_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
SADRI	19.4200	83.5600	Indo-European,Indo-Iranian,Indo-Aryan,Easternzone,Bihari
SANSI	26.5700	73.8400	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,WesternHindi,Hindustani,Sansi
SATPARA_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
SAURASHTRA	10.7800	78.6800	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Gujarati
SAVI	35.0000	71.5000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
SAZIN_SHINA	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
SELICE_ROMANI	48.0800	17.9800	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Northern
SEPECIDES_ROMANI	38.2500	27.0000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Balkan
SERAIKI	34.0000	71.4100	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
SETTLED_SWAT_GUJARI	34.8300	72.3700	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Rajasthani,Unclassified
SHEKHANI	35.3300	71.6000	Indo-European,Indo-Iranian,Indo-Aryan,Nuristani
SHERPUR_HINDKO	34.4100	73.1500	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
SHINA_2	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
SHINA_GURESI	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
SHINA_KOHISTANI	36.0000	74.0000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Dardic,Shina
SINGO_DI_GARHI_HINDKO	34.0900	73.3800	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
SINGO_DI_GARI	34.1300	73.2000	Indo-European,Indo-Iranian,Indo-Aryan,Northwesternzone,Lahnda
SINHALA	7.0000	80.5000	Indo-European,Indo-Iranian,Indo-Aryan,Sinhalese-Maldivian
SINTI_ROMANI	47.5000	16.5000	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Northern
SOFIA_ERLI_ROMANI	42.7000	23.3300	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Romani,Balkan
SOUTHERN_AZAD_KASHMIR_GUJARI	33.5100	73.8900	Indo-European,Indo-Iranian,Indo-Aryan,Centralzone,Rajasthani,Unclassified
